rank,title,author,publisher
1,여행의 이유, 김영하,문학동네
2,철학은 어떻게 삶의 무기가 되는가, 야마구치 슈,다산초당
3,공부머리 독서법, 최승필,책구루
4,설민석의 세계사 대모험 1, 설민석,단꿈아이
5,선재국어 나침판 실전 모의고사 vol. 2, 이선재,에스티유니타스
6,아주 작은 습관의 힘, 제임스 클리어,비즈니스북스
7,내가 확실히 아는 것들, 오프라 윈프리,북하우스
8,제10회 젊은작가상 수상작품집, 박상영,문학동네
9,아이를 위한 하루 한 줄 인문학, 김종원,청림라이프
10,말센스, 셀레스트 헤들리,스몰빅라이프
11,인어가 잠든 집, 히가시노 게이고,재인
12,나는 개다, 백희나,책읽는곰
13,이제껏 너를 친구라고 생각했는데, 성유미,인플루엔셜
14,설민석의 한국사 대모험 9, 설민석,아이휴먼
15,연필로 쓰기, 김훈,문학동네
16,고요할수록 밝아지는 것들, 혜민,수오서재
17,"걷는 사람, 하정우", 하정우,문학동네
18,나는 나로 살기로 했다, 김수현,마음의숲
19,이동기 영어 실전동형 모의고사 Vol. 2, 이동기,에스티유니타스
20,팩트풀니스, 한스 로슬링,김영사
21,당신이 옳다, 정혜신,해냄출판사
22,일 잘하는 사람은 단순하게 합니다, 박소연,더퀘스트
23,꽃을 보듯 너를 본다, 나태주,지혜
24,12가지 인생의 법칙, 조던 B. 피터슨,메이븐
25,고종훈한국사 동형모의고사, 고종훈,발해북스
