종류,원서접수,면접시험,최종합격자발표
,,,
5급(행정)공채,2.10.~2.12.,9.21.~9.24.,10.2.
,,,
5급(기술)공채,2.10.~2.12.,9.21.~9.24.,10.2.
,,,
외교관후보자,2.10.~2.12.,8.31.,9.11.
,,,
7급공채,7.14.~7.17.,10.19.~10.23.,11.1.
,,,
9급공채,2.20.~2.23.,5.26.~6.1.,6.13.
,,,
5급,8.20.~8.22.,10.12.,'19.11.4.(예정)
,,,
5급민간경력자,6.11.~6.17.,11.19.~11.21.,12월말
,,,
7급민간경력자,6.11.~6.17.,11.5.~11.7.,12월말
,,,
지역인재7급,2.11.~2.13.,5.25.,6.5.
,,,
지역인재9급,7.22.~7.25.,10.18.,11.1.
,,,
시간선택제,5월 예정,2019.10.21. ~ 2019.10.23.,2019.11.29.
,,,
중증장애인,4.2.~4.8.,6.15.,7.26.
